Major,S1,S2,S3,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,Indep.
MATH,,,,,,,,,,,,,,1
MATH,,,,2,,,,3,4,1,,,,5
MATH,,,,,,,,,,,,,,1
MATH,,,,,3,1,4,,,,,2,,5
MATH,,,,7,6,,5,1,2,,,3,4,8
MATH,,,,1,3,5,4,6,2,8,7,9,,10
MATH,12,9,5,10,6,3,2,1,7,13,11,4,8,14
MATH,4,3,,2,7,6,,,5,,1,,,8
MATH,6,7,4,1,8,10,3,9,2,11,5,,,12
MATH,,,,3,6,4,5,7,1,2,8,10,9,11
MATH,,,,,,,,,,,,,,1
MATH,5,2,6,1,,,,3,4,,,,,7
MATH,,,,,5,2,4,,3,,1,,,6
MATH,,,,3,2,,5,,4,,,,1,6
MATH,,,,,,,,,,,,,,1
MATH,6,,,2,5,4,1,,3,,,,,7
MATH,,4,,1,,3,,5,7,2,,6,,8
MATH,,,,5,9,6,2,8,4,7,1,3,,10
MATH,,,,1,,,,,,,,,,2
MATH,,,,3,,4,,,2,1,,,,5
MATH,,,,,1,,,,,,,2,3,4
MATH,6,5,7,2,,3,4,8,1,,,,,9
MATH,3,,,1,,,,,,,,,,2
MATH,,,,2,3,1,,4,5,,,,,6
MATH,,,,1,,,,,2,,,,,3
MATH,,,,,,,,,,,,,,1
MATH,2,3,,1,,,5,,4,,,,,6
MATH,3,2,,1,,8,5,7,4,9,6,,,10
MATH,,,,,,,,,,,,,,1
MATH,4,3,5,1,,7,,2,6,,,,,8
MATH,,,,2,,1,,,,,,,,3
MATH,,,,2,,,,,3,4,1,,,5
MATH,,,,,,2,,,,,3,1,,4
MATH,,,,4,7,3,2,,5,,1,6,,8
MATH,,,,4,7,6,3,8,5,1,2,,,9
MATH,,,,,6,1,3,,4,,5,2,7,8
MATH,,,,1,,,,,,,,,,2
MATH,,,,1,8,4,6,3,5,,2,,7,9
MATH,,,,,,4,3,,6,,1,5,2,7
MATH,2,1,,3,,5,,,,,6,4,,7
MATH,,,,1,,,,,,2,3,,,4
MATH,,,,1,,2,,,,,,,,3
MATH,,,,1,,,,,,,,,,2
MATH,,,,,,1,4,3,,,2,5,,6
STAT,,,1,2,,,,,,,,,,3
STAT,2,3,4,1,,,,,,,,,,5
STAT,2,4,3,1,,,,,,,,,,5
STAT,,,,1,,,,,,,,,,2
STAT,,,,,,,,,,,,,,1
STAT,2,,1,3,,,,,,,,,,4
STAT,3,1,,2,,,,,,,,,,4
STAT,2,1,3,4,,,,,,,,,,5
STAT,1,,2,3,,,,,,,,,,4
STAT,1,2,3,,,,,,,,,,,4
STAT,,,2,1,,,,,3,,,,,4
STAT,,,2,1,,,,,,,,,,3
STAT,1,4,2,3,,,,,,,,,,5
STAT,1,2,4,3,,,,,,,,,,5
STAT,,,2,1,,,,,,,,,,3
STAT,2,4,3,1,,,,,,,,,,5
STAT,1,,2,,,,,,,,,,,3
STAT,2,,1,3,,,,,,,,,,4
STAT,3,2,,1,,,,,,,,,,4
STAT,1,,2,,,,,,,,,,,3
STAT,1,2,,3,,,,,,,,,,4
